timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
23:39.9,7238,92 /editstaff.php,200,OK,DeleteStaff 5-217,text,TRUE,,10082,1654,19,142,3749,0,3362
23:39.9,9094,33 /display_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,EditCustomer 2-113,text,FALSE,,2141,0,1,98,0,0,9094
23:40.0,2416,76 /addcustomer.php,200,OK,AddCustomer 4-223,text,TRUE,,7187,965,30,161,1952,0,1447
23:40.0,1446,58 /admin_hompage.php,200,OK,DeleteCustomer 3-186,text,TRUE,,4812,961,34,164,980,0,544
23:40.0,3633,17 /display_staff.php,200,OK,EditStaff 1-150,text,TRUE,,5858,967,26,157,2053,0,549
23:40.1,2379,91 /delete_staff.php,200,OK,DeleteStaff 5-223,text,TRUE,,5855,966,23,160,983,0,551
23:40.1,1953,74 /adminlogin.php,200,OK,AddCustomer 4-225,text,TRUE,,7044,1646,30,162,550,0,0
23:40.1,6618,77 /add_customer.php,200,OK,AddCustomer 4-217,text,TRUE,,5211,1889,25,144,590,0,0
23:40.2,2241,94 /admin_hompage.php,200,OK,DeleteStaff 5-208,text,TRUE,,4812,965,24,161,549,0,0
23:40.2,1501,109 /admin_hompage.php,200,OK,AddStaff 6-173,text,TRUE,,4812,967,26,163,549,0,0
23:40.3,5704,75 /admin_hompage.php,200,OK,AddCustomer 4-220,text,TRUE,,4812,961,26,148,1445,0,0
23:40.4,5194,57 /adminlogin.php,200,OK,DeleteCustomer 3-199,text,TRUE,,7045,1646,34,149,3798,0,3428
23:40.5,903,32 /admin_hompage.php,200,OK,EditCustomer 2-125,text,TRUE,,4811,961,22,164,440,0,0
23:40.6,876,109 /admin_hompage.php,200,OK,AddStaff 6-185,text,TRUE,,4811,967,27,164,424,0,0
23:40.6,5697,104 /admin_hompage.php,200,OK,AddStaff 6-200,text,TRUE,,4813,961,24,147,3840,0,3439
23:40.6,5673,14 /editstaff.php,200,OK,EditStaff 1-162,text,TRUE,,6508,1122,22,147,3818,0,3424
23:40.7,2898,16 /admin_hompage.php,200,OK,EditStaff 1-146,text,TRUE,,4812,959,26,157,1427,0,0
23:40.7,8299,65 /display_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,DeleteCustomer 3-177,text,FALSE,,554277,488,12,76,946,0,429
